안타깝다;tiếc nuối
착안하다;nhấn mạnh
역설하다;nhấn mạnh
배려하다;quan tâm
악영향;ảnh hưởng xâu
창찬받다;nhận được tán dương
교재;giáo trình
선발;chọn
선발대;đội đi trước
선발전;trận đấu chọn tuyển thủ
환기하다;hoàn khí, thông gió
도저히;dù thì, ruốc cuộc thì
제시간;đúng giờ
유인하다;dẫn dắt
가사;lyrics
전업주부;nội trợ chuyên nghiệp
가사 노동;lao động việc nhà
가사 도우미;gúp việc
살림하다;làm việc nhà
가사를 전담하다;chuyên làm việc nhà
분담하다;phân chia việc nhà
다리미;máy ủi
애벌빨래;giặc thô
개다;gấp
빗자루;chổi
먼지떨이;chổi lông gà
걸레;dẻ
걸레질하다;lau chùi
쓸다;quét
굳히다;làm cho cứng
기름기;dầu mỡ
기름지다;béo
늘어나다;tăng lên
상차림;
다듬다;gọt
소독제;
소독약;
지저분하다;bừa bộn·
문지르다;lau chùi
챙기다;mang, sắp xếp, chăm sóc , chú ý, duy trì
반하다;ngược lại
환벽하다;hoàn hảo
엉키다;rối rám
엉망;lôi thôi, bừa bộn
날리다;làm cho bay
속이다;nói dối
속다;bị lừa
감기다;tắm gội
깨우다;đánh thức
눕히다;đặt nằm xuống
연;con diều
바래다주다;đưa tiễn
바래다;phai ố vàng
도망하다;chạy trốn
미지근하다;ấm áp
질투하다;ghen
억누르다;kìm nén
다스리다;cai trại
한마디;một lời
원칙;nguyên tắc
생력하다;tóm lược
요약하다;tóm lược
서랍;học bàn
출력하다 >< 입력하다;xuất >< nhập
비닐;nilon
썩다;thối thiêu
제거하다 ~ 제외하다;trừ khử
음성;âm tính, âm thanh
생산성;năng xuất
증대하다;to lớn
능동적;tính năng động
더럽다;dơ
더러워지다;bị dơ
발급;cấp phát
재발급;tái cấp phát
뜨개질하다;đan móc
볼거리;trò chơi
충돌하다;xung đột
짙은 안개;sương mù dày đặc
탄생하다;sinh ra
산불;cháy rừng
(명사)에 약하다;yếu thế trước N
투입하다;đưa vào
단속하다;giám sát
선정하다;tuyển chọn
비틀거리다;loạng choạng
수여하다;trao tặng, phong tặng
인정받다;nhận được công nhận
쓰러지다;té ngã
대처하다;ứng phó
털실;len
무늬;hoa văn
둘리다;bao quay
소리치다;hét
잔잔하다;êm ả
자격증;giấy chứng nhận
게시;thông báo
절발 이상;hơn 1/2
갈망;khát vọng
각색하다;chuyển thể
각도;góc độ
간담회;buổi nói chuyện
개별적;tính riêng lẻ
거스르다 ⇒ 거스름돈;thối lại => tiền thối
뒤집다;ngược lại
거꾸로;ngược lại
거울 세포;tế bào gương
거창하다;to lớn
고스란하다;như cũ
고열량 음식;đồ ăn nhiều năng luọng
고지서;giấy báo
고차원적;tính cao cấp
곡물;lương thực
과반수;quá số bán
구청;uỷ ban quận
긴요하다;thiết yếu, sống còn
논밭;ruộng vườn
농가;nhà nông
농사를 짓다;làm ruộng
높이다;nâng cao
눈에 띄다;hiện lên trước mặt
대단하다;đáng khen
대리;sự thay thế, sự làm thay
대안;đề án
대중가요;ca dao đại chúng
대중화;đại chúng hoá
대치하다;thay thế
도래하다;dến, du nhập
도시락;cơm hộp
도전하다;đối đầu
독립하다;độc lập
구체적인 사례를 들다;ví dụ cụ thể
국토를 균형 있게 발전시키다;phát triển đất nước 1 cách cân bằng
권력의 바탕;nền tảng quyền lực
권유하다;khuyên nhủ
귀중하다;quý trọng
규명하다;làm rõ
사상;tư tưởng
일자리;chổ làm
선착순;lần lượt
순차적;lần lượt
조명하다;chiếu sáng
탄산: acidcacbonic;
맞이하다;đón tiếp
영업시간;tgian mở hàng
바위에 부딪히다;đâm vào đá
동물보건사;phòng khám thú y
수의사;bs thú y
수의사 처장;trưởng phòng thú y
진찰하다;khám bệnh
한꺼번에;vào 1 lần
정해 놓다;định sẵn
해바라기 들판;đồng hoa hướng dương
발길을 이끌다;lôi kéo bước chân
원고;bản gốc
시기;thời kì
당부하다;đề nghị
학술적;tính học thuộc
호칭;sự gọi tên
생활상;trong cuộc sống
나무의 고령화;già hoá của cây
산림;sơn lâm
탄소;cacbon
현저히;một cách minh bạch
베다;cắt, cưa
대기관;đại khí quản
폭발 사고;sự cố cháy nổ
충돌 사고;sự cố tông
전파 방해;nhiễu sóng điện
우주 조약;điều ước vũ trụ
현실에 맞다;đúng với hiện thực
개정하다;cải chính
보완하다;bổ sung
법적 효력;hiệu lực pháp lí
국제 우주법;luật vũ trụ quốc tế
제정하다;ban hành
앞서;trước
나아가다;tiến lên
제조업체;doanh nghiệp chế tạo
인공위성이 쏘아 올려지다;phóng vệ tinh nhân tạo
병행하다;thực hiện song song
변화를 도모하고 있다;đang lên kế hoạch cho sự biến đổi
조선업계;ngành công nghiệp đóng tàu
구축하다;cấu trúc, tạo
수입원;nguồn thu nhập
제사를 모시다;thờ cúng
한가운데;ở giữa
조선의 역대;các triều đại joson
종묘;tông miếu·
낮은 담장;tường thấp
정면으로;chính diện
위엄;uy nghiêm
가로길이;chiều dài chiều ngang
수평선;đường chân trời
일직선으로;đường thẳng
아래도 내려와 있다;rơi rớt xuống
대칭;đối xứng
단아하다;đoan nhã, thanh lịch
절묘하다;tuyệt
절묘한 균형을 이루다;đạt được sự cân bằng tuyệt hảo
줄지어서 있다;xếp thành hàng
이렇듯;như thế này
제사를 드리다;cúng
절제된 아름다움으로;vẻ đẹp bị giới hạn
신성하다;thần thánh
장엄하다;trang nghiêm
자아내다;tháo ra, rút ra
건축미;vẻ đẹp kiến trúc
아랫배 >< 윗배;bụng dưới >< bụng trên
소장;ruộc non
매장;
충소;
관여하다 >< 무관하다;liên quan >< ko liên quan
쓸모없다;vô dụng
신성하고 장엄한 분위기를 자아내다;tạo ra bầu không khí trang nghiệm và thần thánh
걸핏하면;cứ hở là
염증을 일으키다;gây ra viêm nhiễm
비축하다;tích trữ lưu trữ
~로 여겨지다;được cho rằng là
대장에 탈이 나다;bệnh ở đại tràng
메우다;lắp đầy
유산균;khuẩn sữa
불가피하다;bất khả thi, k thể tránh khỏi
처하다;rơi vào
소상공인;tiểu thương
빚내다;vay tiền
빚지다;vay nợ
금융지원 (금융 ~ 재정);
이자율을 높이다;
이자율을 낮추다;
채무;nợ
채무자;người nợ
매출액;doanh thu
경영난;khó khăn kinh tế
일률적;tính nhất luật, đồng loạt
하루빨리;nhanh trong 1 ngày, nhanh nhất có thể
도덕적 의무;nghĩa vụ mang tính đạo đức
보편적;tính phổ biến
(명사)과/와 달리;khác vs N
동정심;lòng đồng cảm
행위자의 감정;tình cảm của người thực hiện hành vi
연민;sự đồng cảm
연민의 감정에 이끌다;lôi kéo sự đồng cảm
채권자;chủ nợ
갚아야 할 돈;tiền phải trả
경제적 어려움에 빠지다;rơi vào sự khó khăn mang tính kinh tế
외면하다;lánh mặt
도움을 청하다;yêu cầu giúp đỡ
선한 사람 >< 악한 사람;người hiền >< người dữ
어느 한 면;một mặt nào đó
자제하다;kiềm chế tự chủ
누군가;người nào đó
다시 생각하게 하다;khiến phải suy nghĩ lại lần nữa
화창하다;ấm áp
폭염;cơn nóng
폭설;bão tuyết
어르신;người lơn
반도체;chất bán dẫn
얼어붙다;đóng cứng
엇갈리다;lệch
체증;sự tắc nghẽn
맞먹다;tương đồng, ngang sức
북적대다;rối rắm, đông nghẹt
허위;giả dối
경계를 허물다;xoá bỏ ranh giới
험난하다;hiểm trở
열령대;lứa tuổi
역대;các đời
역량을 갖추다;có năng lực
인명 피해;thiệt hại mạng sống
만성 질환;bệnh mãn tính
금메달;huy chương vàng
경제적인 여유;dư giả về kinh tế
쉴 틈 없이;không có khoảng để nghỉ ngơi
베풀다;khao đãi
의견을 내놓다;đưa ra ý kiến
흐뭇하다;hả hê
등굣길;đường đi học
하굣길;đường tan trường
번지다;loang ra
협찬하다;tài trợ
출산 휴가;kì nghỉ sinh đẻ
방역 대책;đối sách phòng dịch
법안 추진;thúc đẩy dự thảo
연잇다;liên tiếp
경제성장률;tỉ lệ phát triển kinh tế
활성화시키다;khiến thúc đẩy phát triển
한산하다;nhàn hạ, thưa thớt
눈길 사로잡다;thu hút sự chú ý
상승세;xu hướng tăng
경영진;ban điều hành
조화롭다;điều hoà
산모 = 임산부 = 임신부;thai phụ
면세;miễn thuế
오름세;xu thế tăng
안정세;xu thế ổn định
추월하다;vược mặt
인파;đám đông
북새통;đám đông ồn ào
유가;giá dầu
출하하다;gửi hàng, xuất hàng
출하량;lượng xuất hàng
퇴사하다;tan sở, thôi việc
절실하다;mãnh liệt
발굴하다;phát quật, phát hiện
몰두하다;vùi đầu, say mê
마비되다;bị tê liệt
대우하다;đối sử
확산하다;khuếch tán
달성하다;thành đạt
조난당하다;bị gặp nạn
존폐;sự tồn tại và bãi bỏ
회수하다;thu hồi
회수율;tỉ lệ thu hồi
비영리;không vụ lợi, không lấy lãi
승리하다 ~ 우승하다;chiến thắng
도출하다;đưa ra
연일;nhiều ngày liên tiếp
하락세;xu hướng giảm
금리 = 이자율;lãi xuất
폭포;khác nước
만연;sự lan truyền
교묘하다;khéo léo, tinh xảo
피라미드;kim tự tháp
운반하다;vận chuyển
묘사하다;miêu tả
튕기다;bắng ra
겸손하다;khiêm tốn
관악기;nhạc cụ ống 
유전체 해독;giải mã gen
분포하다;phân bổ
혼잣말하다;nói một mình
다루다;xử lí, làm
통일되다;được thống nhất
한해 = 가뭄;hạn hán
길들이다;thuần hoá
가설;giả thuyết
살아남다;sống sót
뚜렷하다;rõ ràng
신념;tín niệm
양극화;lưỡng cực hoá
한파;cơn lạnh
완화하다;xoa dịu, làm thuyên giảm
합의;hợp ý
쟁점;điểm tranh cãi
토대;nền móng
근육;cơ bắp
대작;kiệt tác
명령;mệnh lệnh
기밀;cơ mật
감지하다;cảm nhận
해돋이 >< 해넘이;bình minh >< hoàng hôn
지배인;người thống trị
선착장;bến cảng, bến tàu
꼼지락거리다;ngọ quậy
심드렁하다;lãnh đạm, thờ ơ, lạnh nhạt
턱짓하다;làm điệu làm bộ
갸웃하다;nghiên lệch
반신반의하다;bán tín bán nghi
향신료;gia vị
경로;tuyến đường
미지;sự chưa biết
개척하다;khai phá
문물;sản vật văn hoá
태양광;ánh sáng mặt trời
건설하다;xây dựng
유한성 >< 무한성;hữu hạn >< vô hạn
위협하다;uy hiếp đe doạ
위협적이다;mang tính đe doạ
총량;tổng lượng
유사하다;tương đương
양상;hình thức
쥐;chuột
앞세우다;đi trước, cho đứng trước
거두;người đứng đầu
퍼지다;loe ra, phình ra
곁;bên canh
공지하다;thông báo
캡슐;bao con nhộng
묘하다;kì diệu, khác lạ
인화;dẫn hoả
수월하다;dễ dàng
어업인;người ngư nghiệp
음향;âm hưởng
제기하다 ~ 제시하다;đề ra
화성;hoả tinh
탐사선;tàu thám hiểm
선원;thuyền viên
음악인;người làm nhạc
양성하다;nuôi dạy, bồi dưỡng
담담하다;trầm lặng
경건하다;kính cẩn
미비하다;chưa đầy đủ, chưa hoàn hảo
삼다;lấy làm, dùng làm·
맹신하다;tin tưởng mù quáng
재판;việc tái bản / sự xét sử
공정하다;công bằng
수호하다;bảo vệ / quan hệ hữu nghị
법원;toà án
사건;sự kiện
해석하다;giải thích
판결;phán quyết
부당하다;không chính đáng, bất chính
상급;cấp trên
청구하다;yêu cầu 
소요되다;được yêu cầu
잼;mức
지출하다;chi tiêu
인테리어;trang trí nội thất
빠뜨리다;làm rơi xuống
집계되다;được tính tổng
다리미;bàn ủi
감나무;cây hồng
생생하다;tươi
차례차례;theo tứ tự
결승;chung kết
빗나가다;đi chệch, sai lệch
질식하다;tắc thở, ngạt thở
자석;nam châm
나침반;la bàn
어긋나다;lệch
자전축 기울기;độ nghiên trục quay
변조하다;cải biến, sửa đổi
무심코;vô tâm
침팬지;con tinh tinh
소속;sự thuộc về
도르래;cái ròng rọng
고안하다;phát minh, tìm tòi
확립하다;xác lập
지석;bia mộ
귀농;quay về làm nông
귀향;về quê
골몰하다;mải mê, tập trung cao độ
개운하다;cảm giác tỉnh táo, thoải mái
무안하다;mất mặt
섭섭하다;thất vọng
직면하다;trực diện, đối mặt
지탱하다 ~ 유지하다;duy trì
질주하다;lao như bay
둔감하다 >< 민감하다;kém nhạy cảm>< mẫn cảm
바로잡다;thay đổi, sửa đổi
사로잡다;nắm bắt
손수레;xe kéo tay
폐지하다;loại bỏ
때마침;đúng lúc
사상;tư tưởng
신경망;mạng lưới thần kinh
마음으로 느끼는 시간;thời gian cảm nhận bằng trái tim
물리적인 시간;thời gian mang tính vật lí
견인하다 ~ 구조하다;cứu hộ
경제 활성화를 견인하다;kéo theo sự hồi sinh kinh tế
둔해지다;trở nên chậm chạm
순기능 >< 역기능;kĩ năng thuận >< kĩ năng nghịch
시상식;lễ trao giải
호응을 받다;nhận được sự hưởng ứng
수익을 앋다;nhận được lợi
사냥하다;săn bắt
진땀을 흐르다;mồ hôi chảy
경선하다;tranh cử
선거하다;bầu cử
선언하다 ~ 선포하다;tuyên bố
무지개;cầu vồng
굴절되다;bị cong
오염 물질;chất ô nhiễm
불상사;điều k lành
무너지다;sụp đổ
처방전;đơn thuốc
처방하다;kê đơn thuốc
이름짓다;đặt tên
생물학자;học giả sinh vật
한자어;từ hán tự
외래어;từ ngoại lai
고유어;từ thuần hàn
앞장서다;đứng đàu
야근하다;làm đêm
속상하다;đau lòng
(으)나 마나;
수출하다;xuất khẩu
나머지;phần còn lại
양해하다;thông cảm
반입하다;đưa vào
열람실;phòng đọc
과장하다;phóng đại
수업;việc học
체계적;tính hệ thống
스게린트보드;
충전하다;sạc
전동킥보드;
닥치다 ~ 임박하다;đến gần
반값;nữa giá
출품하다;trưng bày
단편 영화;phim ngắn
초과하다 ~ 지나치다;thái quá
절반에도 못 미치다;chưa đến 1/2
콘텐츠;content
전파하다;truỳen bá
일자리;việc làm
평균적;tính bình quân
방부제;chất bảo quản
반대로;phản đối
우선시하다;ưu tiên
일부러;cố tình
신조어;từ mới
의하다;phụ thuộc, dựa vào
세부적;tính chi tiết
옳다 >< 그르다;đúng >< sai
옳고 그름;sự đúng và sai
자체;tự thể
성향;khuynh hướng
각자;mõi ng
괘씸하다 ~ 분노하다;phẫn nộ
버럭;đùng đúng, bất thình lình
못나다;xấu xí, kém cỏi
~기는커녕;
나무라다;chỉ trích, rầy la
부유하다;giàu có
부자;tỉ phú
악순환;vòng lẫn quẫn
발발하다;bùng phát
전염병;bênh truyền nhiễm
확산하다;khuếch tán
서서히;từ từ chậm chạp
항해;hàng hải
무역;thương mại
전차;xe điện
인접하다;tiếp giáp
정신적;mang tính tinh thần
수준;trình độ, tiêu chuẩn
(명사)에 힘을 더 쏟고 있다;
위생;vệ sinh
가격;giá
나서다;đứng ra
떨어뜨리다;đánh rơi
협의하다;hiệp ý
차원;khía cạnh
뜻;có nghĩa
정체성;tính bản sắc
냉매;chất làm lạnh
암모니아;amoniac
이산화;đioxit
이산화황;lưu huỳnh đioxit
악취;mùi thối
악취미;thói xấu
오존;ozone
공통점;điểm giống nhau
축소되다;bị thu nhỏ, bị giảm thiểu
끼치다;gây ra
보급하다;phổ cạp
소지;sự sở hữu
무기 소지;sở hữu vũ khí
기초적;tính cơ bản
기초하다;căn cứ vào, dựa trên
빼앗다;cướp, cướp đi
돌잔치;tiệc thôi nôi
지지하다;đồng tình
복권에 담첨되다;trúng số
쓸데없다;vô dụng
헛소리;lời nói nhảm
간판;bản hiệu
귀에 거슬리다;khó nghe, chướng tai
뜻깊다;ý nghĩa sâu sắc
번지다;loang ra
방음벽;tường cách âm
바깥쪽;bên ngoài
넘다;qua, băng qua, đi qua
터널;đường hầm
순식간;chớp mắt
중경상;vết thương nặng nhẹ
지동설;thuyết trái đất quay
뛰쳐나오다;lao ra
풍요롭다;phong phú
포유류;động vật có vú
저조하다;giảm
골목길;hẻm
그립다;nhớ
쓸다;quét
폐트병;chai nhựa
이동시키다;khiến cho di chuyển
차를 세우다;đỗ xe
이루어지다;đạt được
더하다;cộng, thêm, cộng thêm
역장;trưởng ga
철저하다;kỹ lưỡng
(동사)는 데에 기여하다;
(명사)이/가 빠지다;thiếu N
뱀;con rắn
뱀장어;con cá chình
도망치다;chạy trốn
진땀을 흘리다;chảy mồ hôi
대기;sự đọi
새벽같이;sáng sớm
서운하다;tiếc nuối
눈치;sự tinh ý
매이다;bị trói
매여 있다;
나이를 먹어가다 ~ 늙어가다;già đi
쐬다;hóng
심장을 뛰다;rung động
하얘지다;trở nên trắng tinh
손가방;túi xách
벌하다;phạt
비옷;áo mưa
주저앉다;ngồi khuỵu xuống
이면지;giấy có thể tái sd
빨대 사용;sử dụng ống hút
한파 속;trong cơn lạnh
부피;thể tích
팝콘;bắp rang bơ
알갱이;hạt
장독대;chum
조각상;tượng điêu khắc
이슬 ~ 안개;sương mù
맺히다;được đơm hoa
풍선;bóng bay, khinh khí cầu
열기구;khinh khí cầu
되팔다;bán lại
대야;chậu
문지르다;lau chùi
눈언저리;vành mắt
건반;bàn phím
매달리다;được treo
아찔하다;choáng váng
몸부림치다;nhún nhảy
판화;tranh khắc
매료되다;bị mê hoặc, bị quyến rũ
후진국 >< 선진국;
임금 수준;lương tiêu chuẩn
사격하다;bắn, xạ kích
경신하다;cải tiến, phá kỉ lục
예기하다;dự trù, dự tính
접촉하다;tiếp xúc
빈번하다;thường
빈번해지다;trở nên bình thường
분해하다;phân giải
개입하다;can thiệp
우연적 요소;yếu tố ngẫu nhiên
충족하다;đầy đủ
직업윤리;đạo đức nghề nghiệp
인파;đám đông
시달리다;đau khổ
방문을 닫아버렸다;đóng cửa phòng
주변머리;đầu óc tháo vát
지인;ng quen biết
서당;trường làng
불평등;bất bình đẳng·
대립하다;đối lập
폐업;phá sản
조치하다;đối phó
비단;duy chỉ, chỉ
여가시간;thời gian rãnh
저출산;sinh thấp
고령화 사회;xã hội già hoá 
맞벌이;vkck cùng kiếm tiền
사교육;sự dạy tư
경쟁이 치열하다;canh tranh khốc liệc
수선하다;tu bổ, phục hồi
표지;trang bìa
찢다;xé
달걀;trứng gà
껍데기;vỏ
붐비다;tấp nập
사람이 붐비다;đông nghẹt ng
굽다;nung
파내다;đào
당기다;kéo
공고문;bảng thông báo
지방;chất béo
문득;bất chợt
소망을 빌다;cầu nguyện
던지다;ném
향하다;hướng
펼치다;đưa ra bày ra
정작;thực tế
벚꽃;hoa anh đào
번지다;loang ra
기발하다;lỗi lạc
멍하다;thẫn thờ
근교;ngoại thành
완비되다;được trang bị đầy đủ
군데;nơi
진화하다;dập lửa / tiến hoá
비웃다;cười  chế nhạo
과시하다;khoa trương
빽빽하다;đông đúc
취약하다;thấp kém, yếu kém
다이어트;
동공;con ngươi
짝짓기;sự phối giống
초음파;sóng siêu âm
박쥐;con dơi
야행성;tính ăn đem
동굴;hang động
분간하다;phân biệt, phân tỏ
다물다;ngậm, khép
정년;tuổi về hưu
불리다;ngâm nở, làm tăng
미지근하다;ấm áp
식초;dấm
지루하다;buồn chán
다스리다;cai trị
공손하다;lễ phép kiêm tốn
심장병;bệnh tim
충격;xung kích, sốc
정전;sự cúp điện
조화되다;được điều hoà
말투;cách nch
사흘;3 ngày
나흘;4 ngày
이틀;2 ngày
하루;1 ngày
엿새;6 ngày
이레;7 ngày
이자;lời
설거지;rửa chén
맨손;tay không
고무;cao su
잉크;mực
위생적이다;tính vệ sinh
손이 트다;thông minh
회전하다;quay vòng
연수;sự đào tạo
대중화하다;
세계화하다;
상업화하다;
고급화하다;
자동화하다;
효율화하다;
체계화하다;
객관화하다;
구체화하다;
끈기;sự kiên trì
앞두다;đứng trước
무채색;
차분하다;
착오하다;sai trái
자유롭다;
활약하다;hoạt động tích cực
추적하다;săn đuổi, chủ đích
명확하다;minh bạch
꽂다;cài , đóng
불티나다;bán chạy
충전 케이블;
치우치다;lệch
수색하다;
위상;
난민;
처우;sự đãi ngộ
따지다;tính toán
이탈하다;ly thoát
주식;cổ phần
도박하다;đánh bạc
단기 투자;
장기 투자;
이익;
이익금;
항문;
딱딱하다;cứng
적절하다;
변비;táo bón
대변;
저절로;
자전 = 미리;
치열하다;매섭다
좌우하다;영향을 끼치다
역효과;hiệu quả ngc
심층 면접;
공존;cùng nhau tồn tại
공존하다;tương trợ
곡선미;vẻ đẹp dg cong
의무적으로;
태양열 조리기;
사막화를 늦추다;
대책;
땔감;chất đốt
연료;
가열하다;
아프리카;
아시아;
마실 물;
울타리;hàng rào
시설을 부수다;phá huỷ thiết bị
수도권;vùng thủ đô
작업하다;tác nghiệp
전광판;quản cáo sáng đèn
최소화하다;
최대화하다;
통제하다;
도로 포장을 하다;
동일하다;
시간이 촉박하다;thời gian gấp gáp
변함이 없다;
의견에 공감하다;
따분하다;buồn tẻ
따분할 틈이 없다;
고스란하다;
휴대하다;
치매;
모바일 치매;
감퇴하다;suy thoái
만지작거리다;
국어사전;
구속하다;
우연히;
원고;
일제 시대;thời kì đế quốc nhật
(명사)에 기대어 살다;
기대다;nương tựa, dựa··
전개하다;
안전모를 쓰다/벗다;
(명사)에 대한 관심이 높아지다;
철로 말들다;
머리에 맞다;
초지;tiêu chí
턱끈을 조이다;thắt dây
알맞게 조절하다;
작동 원리;
단독;
배치하다;bố trí, sắp xép
애수;sự buồn lòng
머뭇거리다;
일제히;nhất tề, dồng loạt
싸우다;
영구적;
다림질하다;
떼다;tháo
튀어나오다;
밑판;tấm ván lót đáy
멀리하다;tránh xa, cách xa
꺼리다;
고개를 끄덕이다;
손뼉을 치다;
범위;
~에 도달하다;
다소;
소폭 >< 다폭;
(명사)를 망가뜨리다;
(명사)이/가 망가지다;
보태다;bổ sung
사실과 허구;
기법 = 기술;
결합하다;
한편;
돌아가시다;die
수화기를 듣다;
분주하다;
뒤늦게 깨닫다;
탓하다;
무력해지다;
창작 과정;
모서리;mép góc, cạnh
무인;
재해 감시;
무궁무진하다;vô cùng vô tận, vô biên
본격화되다;dc quy cách hoá
한층;
앞당기다;
사생활 침해;
테러 위험;nguy hiểm khủng bố
(명사)에도 불구하다;
(명사)에 못지않게;không kém N
거듭되다 ~ 반복하다;
활짝;mênh mông, toang
역량을 펼치다;mở rộng năng lực
정세;tình thế
형세;tình thế
참말 ~ 사실;
인지하다;
주장하다;
간주하다;xem là , coi như
이바지하다;
고조하다 >< 악화하다;
합리적인 근거;
객관적인 시각;
도약하다;nhảy vọt, nhảy lên
이르렀다;
곱다;
퇴보하다;rút lui, thoái lui
상충하다;xung khắc nhau
함양하다;nuôi dưỡng
비일비재하다;tái tiếp diễn
~과/와 밀접하다;
만연하다;
심화하다;đào sâu
강구하다 ~ 찾다;
기인하다;
축이다;thấm ướt
출원 ~ 구독;
탁하다;vẫn đục
특허법;luật đặc cách
개체;cá thể
검토;
단속하다;
대접하다;đối xử, thiết đã
보장하다;
복지;
부자연스럽다;
부채;
쉼터;chổ nghỉ chân
여론;
앞장서다;đứng đầu
유동;lưu thông
튀다;
하루살;
간이식;cách thức giản đơn
강화하다;
건지다;
과열되다;bị quá mức
흩어지다;bị rải rác
데뷔하다;debut
골고루;
떠넘기다;đổ đầy··
무정란;trứng k trống
미미하다;nhỏ bé
미흡하다;không đầy đủ
밀착하다;dính chắc, bám chặt
바깥;
반쪽;
배반하다;phản bội
본받다;
내뻗다;duỗi thẳng ra
상어;
사대부;thượng lưu
상대하다;đối mặt
선언하다;
수사 = 조사;
식비;tiền ăn
언급;
애매하다;mập mờ·
요건;điều kiện quan trọng
유사하다;
인신공격하다;nói xấu
일깨우다;
재발하다;
창업;
치밀하다;
출동하다;출발하다
소유자;
경매;sự đấu giá
첨단 기계;
손상되다;
(명사)이/가 손상을 입게 되다;
귀고리;
딱딱하다;
입석;
상영하다;trình chiếu
자막;
멋쟁이;ng biết làm đẹp
상표;nhãn hiệu
복고풍;
손톱 관리;
성형수술;
뒤처지다;
최신;
촌스럽다;
차려입다;diện đồ áo
장례식;
괴이하다;
깔끔하다;
비정상적;
멋지다;tuyệt vời
핫팬츠;quàn lửng bó
들뜨다;
민소매;áo sát nách
왕광;
새우다;
밤샘하다;
옷차림;
상속하다;
조리법;
사고 방식;
선도하다;dẫn đầu, dẫn dắt
묶다;
담보;thế chấp
뾰족하다;
탈모;
노폐물;chất cặn bả
빠지다;
기상;sự thức dậy
부피;
두개골;
부엌;
노하우;bí quyết
전업;chuyên nghiệp
진열대;kệ trưng bày
버릇;
장착하다;trang bị, trang trí
건드리다;
중지하다;
탈춤;
개요;khái lược
경력;kinh nghiệm
차례;lễ cúng
글로벌;
육성;
졸음을 쫓다;
능률;
껌;
떠들다;làm ồn
지르다;
지각하다;nhận ra
내려다보다;
완화되다;
견과류;các loại hạt
몸집;
육식 동물;
초식 동물;
바위;
물가;
시선;
흔히;thường
공급하다;
녹화하다;
가구;
모색하다;
내보내다;
핏줄;
식다;
식히다;
잠재적;tính tiềm tàng, tính tiềm ẩn
공헌;
수질;
관심이 쏠리다;
구인 광고;
지직 습득;
진학률;
소음이 심하다;
진료 접수를 하다;
진찰하다;
진찰실;
커튼;
딱히;chắc / một cách đáng thương
환절기;
직원 교육;
해외/국내 연수;
개인 사정;
일정을 짜다;
교육을 받다;
확정하다;
착오;
순찰;
골라먹다;
재래시장;
자격증;
의욕;
목이 뻣뻣하다;
고개를 숙이다;
찜질하다;
계절별;
계절성;
쥐다;
산성;tính acid
산성비;mưa acid
산성화하다;
겹쳐 입다 = 덧입다;
꼽히다;
약간;
정상;
침이 분비되다;
충치;
찌꺼기;cặn, bã
중독;
덩치;
점프하다;
명품;
빈부격차;
기반이 되다;
일치하다;
벌칙;
납부하다;nộp, đóng
유리문;
지폐;tiền giấy
제련하다;chế luyện, tinh luyện
측면;
숨바꼭질;
촛불;
술래;ng tìm
부피;
가하다;gây, tốt đúng phải
말리다;làm khô
마루;
제습기;
차다;đầy
맺히다;
기부하다 ~ 기증하다;
플랫품;
집약적;
사어 버늘;
권고하다;khuyến cáo
저마다;
사연;câu chuyện
호평받다;nhận dc đánh giá tốt
호평하다;
우호적;tính hữu nghị
저항 정신;
약자;kẻ yếu thế
주류;
타이어;lốp xe
무섭다;
정자;tinh trùng
사안;vụ án
쟁점;
중도;trung lập
방어하다;phòng ngự
동무;bạn bè
확충하다;tăng cường, mở rộng
베란다;hành lang
선서하다;tuyên thệ
부수다;đập phá
혈안이 되다;
침목을 감수하다;
구아바;ổi
인습;lề thói
못살다;k thể sống
까딱하다;gật gù
얼굴이 반듯하다;mặt thanh tao
어지르다;làm lộn xộn , làm rối tung
구겨지다;bị nhàu nát, bị tổn thương
손때가 묻다;
조난 사고;
조치를 취하다;
강렬하다;mạnh mẽ
소용돌이치다;nước xoáy
백사장;cãi cát trắng
과태료;tiền phạt
조례;nội quy
불청객;khách không mời mà đến
부리다;khoe, sai khiến
기하급수적;cấp số nhân
부엉이;cú mèo
매;diều hâu
길사 >< 불상사;
벌채하다;đốn·
튜브;tuýp
파라솔;ô, dù lớn
바가지요금;giá cắt cổ
제값;
일사량 = 햇빛양;
교란하다;rối loạn, kích động
염소;con dê / hợp chất clo
염수;nc mặn
민물;nc ngọt
그물;lưới, cái bẫy
썰물;thuỷ triều xuống
수심;độ sâu
장판;sàn lót ván
입에 달다;quen mồm
추모하다;tưởng niệm
억지로 = 강제로 = 하여금;cưỡng ép = 강요하다
메우다;lắp đầy
실신하다;bất tỉnh
부서지다;vỡ nát
누전하다;rò điện
제보;sự báo tin
전수되다;được chuyển giao
데다;bị bỏng
데이다;
출장비;phí công tác
매사;vạn sự , mọi việc
유방암;ung thư vú
심장마비;
모험심;
낯 가리다;
수줍다;rụt rè nhút nhát·
수줍음 타다;
활달하다;rộng lượng
나열하다;
선임하다 = 임명하다;
잔잔하다;lặng, êm ả
교향악단;dàn nhạc giao hưởng
협연하다;hợp xướng
미를 띠다;có vẻ đẹp
수수하다;vừa phải
애를 태우다;
다리 역할을 하다;
